"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mlu_28621.mRNA1",78.9161075105076,1.74491057085411,0.404382255147399,4.30712423011605,1.65390731521277e-05,0.00305383428898834
"Mlu_32848.mRNA1",183.447945549719,-1.54048161234407,0.356693489617533,-4.30800937451366,1.64730404956971e-05,0.00305383428898834
"Mlu_10295.mRNA1",402.845711171229,-1.10232249457201,0.256480169225665,-4.29568508181993,1.74154666205997e-05,0.00318873621542647
"Mlu_45144.mRNA1",338.257307190883,-1.41201567318891,0.327785751271057,-4.29520243218437,1.74534001939051e-05,0.00318873621542647
"Mlu_07866.mRNA1",1043.27166029784,-0.998537896841595,0.232814014433351,-4.28914337056209,1.79363567428987e-05,0.00325582917453918
"Mlu_24200.mRNA1",155.141556968312,-1.23719560377345,0.287833996038985,-4.28825515414358,1.80082159856976e-05,0.00325582917453918
"Mlu_05087.mRNA1",15.0447509818837,2.68187241505635,0.587805567862538,4.28594890811755,1.81960807283343e-05,0.00327274896540242
"Mlu_44557.mRNA1",60.534459060663,1.89943884821824,0.438206464992432,4.28360025690279,1.83893178019777e-05,0.00329045561268068
"Mlu_20959.mRNA1",2637.06997459993,0.805137337988928,0.188014115137647,4.28114294739714,1.85935867202947e-05,0.00330994449139278
"Mlu_27712.mRNA1",51.7628736452909,1.83151763475002,0.427344285769177,4.27825560743093,1.88363648352458e-05,0.00331912046967456
"Mlu_28703.mRNA1",182.606077785734,-1.13128007416519,0.264141386033365,-4.27912565736444,1.87628918116326e-05,0.00331912046967456
"Mlu_12225.mRNA1",5129.51744565886,-0.953201835381949,0.223027232917676,-4.2733168690508,1.92586465668085e-05,0.00337639090037184
"Mlu_17113.mRNA1",138.353058319717,-1.42369278442031,0.333267292249783,-4.25969289449481,2.04707971097977e-05,0.0035708682415699
"Mlu_10497.mRNA1",4472.2516651439,-1.1185427563459,0.262510634835654,-4.25743468477583,2.06786046597218e-05,0.00358908201776461
"Mlu_20476.mRNA1",247.857239802229,-1.51272266204138,0.354301764219164,-4.25544424312194,2.08634353330416e-05,0.00360314642147201
"Mlu_44258.mRNA1",316.239813901379,-1.08675688293441,0.255227031150631,-4.25390626946668,2.10073263036612e-05,0.00361003622761877
"Mlu_31417.mRNA1",483.857617059046,1.35748948978919,0.319305780570513,4.24999906518013,2.13771407667051e-05,0.00365549107110657
